1/1/1,11
1/1/1,11
1/1/1,11
2/2/2,22
1/1/1,11
4/4/4,44
1/1/1,22
1/1/1,111
1/1/1,11
1/1/1,11
1/1/1,11
2/2/2,22
1/1/1,11
1/1/1,11
1/1/1,11
1/1/1,11
1/1/1,44
1,55
7/7/7,77
7/7/7,33
8/8/8,88
8/8/7,77
2/4/4,42
2/4/2,22
4/4/4,33
2/2/2,22
4/4,32
2/2/2,22
3/3/3,22
3/1/1,11
7/7/7,77
2/2/2,11
66/6/6,33
4/4/4,22
22/2/2,1
1/1/1,11
5.5.5,5
5.5.5,5
8/8/8,88
2/2/2,22
6/6/6,66
5/5/5,33
6/6/6,88
2/2/2,
2/2/2,22
3/3/3,99
2/2/2,22
2/3,33
2/2/2,22
3/3/3,66
2/2/2,22
3/3/3,33
33,33
2/2/2,44
3/3/3,77
2/2/2,44
1/1/1,22
2/2/2,33
1/1/1,22
2/2/2,22
